waterbody_name,year,events
Trout Lake,1981,NA
Trout Lake,1982,NA
Trout Lake,1983,NA
Trout Lake,1984,NA
Trout Lake,1985,NA
Trout Lake,1986,NA
Trout Lake,1987,NA
Trout Lake,1988,NA
Trout Lake,1989,NA
Trout Lake,1990,NA
Trout Lake,1991,NA
Trout Lake,1992,NA
Trout Lake,1993,NA
Trout Lake,1994,NA
Trout Lake,1995,NA
Trout Lake,1996,NA
Trout Lake,1997,NA
Trout Lake,1998,NA
Trout Lake,1999,NA
Trout Lake,2000,NA
Trout Lake,2001,NA
Trout Lake,2002,NA
Trout Lake,2003,NA
Trout Lake,2004,NA
Trout Lake,2005,NA
Trout Lake,2006,NA
Trout Lake,2007,NA
Trout Lake,2008,NA
Trout Lake,2009,NA
Trout Lake,2010,NA
Trout Lake,2011,NA
Trout Lake,2012,NA
Trout Lake,2013,NA
Trout Lake,2014,NA
Trout Lake,2015,NA
Trout Lake,2016,NA
Trout Lake,2017,NA
Trout Lake,2018,NA
Trout Lake,2019,NA
Crystal Lake,1981,NA
Crystal Lake,1982,NA
Crystal Lake,1983,NA
Crystal Lake,1984,NA
Crystal Lake,1985,NA
Crystal Lake,1986,NA
Crystal Lake,1987,NA
Crystal Lake,1988,NA
Crystal Lake,1989,NA
Crystal Lake,1990,NA
Crystal Lake,1991,NA
Crystal Lake,1992,NA
Crystal Lake,1993,NA
Crystal Lake,1994,NA
Crystal Lake,1995,NA
Crystal Lake,1996,NA
Crystal Lake,1997,NA
Crystal Lake,1998,NA
Crystal Lake,1999,NA
Crystal Lake,2000,NA
Crystal Lake,2001,NA
Crystal Lake,2002,NA
Crystal Lake,2003,NA
Crystal Lake,2004,NA
Crystal Lake,2005,NA
Crystal Lake,2006,NA
Crystal Lake,2007,NA
Crystal Lake,2008,NA
Crystal Lake,2009,NA
Crystal Lake,2010,NA
Crystal Lake,2011,NA
Crystal Lake,2012,Crystal mix experiment
Crystal Lake,2013,Crystal mix experiment
Crystal Lake,2014,NA
Crystal Lake,2015,NA
Crystal Lake,2016,NA
Crystal Lake,2017,NA
Crystal Lake,2018,NA
Crystal Lake,2019,NA
Big Muskellunge Lake,1981,NA
Big Muskellunge Lake,1982,NA
Big Muskellunge Lake,1983,NA
Big Muskellunge Lake,1984,NA
Big Muskellunge Lake,1985,NA
Big Muskellunge Lake,1986,NA
Big Muskellunge Lake,1987,NA
Big Muskellunge Lake,1988,NA
Big Muskellunge Lake,1989,NA
Big Muskellunge Lake,1990,NA
Big Muskellunge Lake,1991,NA
Big Muskellunge Lake,1992,NA
Big Muskellunge Lake,1993,NA
