waterbody_name,taxa_name,ZIG_grouping,other_grouping,genus,species,invasive
AL,COPEPOD NAUPLII,nauplii,NA,NA,COPEPOD NAUPLII,NA
AL,CYCLOPOID,cyclopoid,NA,NA,CYCLOPOID,NA
AL,ACANTHOCYCLOPS VERNALIS,cyclopoid,NA,NA,ACANTHOCYCLOPS VERNALIS,NA
AL,DIACYCLOPS THOMASI,cyclopoid,NA,NA,DIACYCLOPS THOMASI,NA
AL,EUCYCLOPS ELEGANS,cyclopoid,NA,NA,EUCYCLOPS ELEGANS,NA
AL,MESOCYCLOPS EDAX,cyclopoid,NA,NA,MESOCYCLOPS EDAX,NA
AL,TROPOCYCLOPS PRASINUS MEXICANUS,cyclopoid,NA,NA,TROPOCYCLOPS PRASINUS MEXICANUS,NA
AL,CALANOID,calanoid,NA,NA,CALANOID,NA
AL,EPISCHURA LACUSTRIS,calanoid,NA,NA,EPISCHURA LACUSTRIS,NA
AL,DIAPTOMID,calanoid,NA,NA,DIAPTOMID,NA
AL,LEPTODIAPTOMUS MINUTUS,calanoid,NA,NA,LEPTODIAPTOMUS MINUTUS,NA
AL,SKISTODIAPTOMUS OREGONENSIS,calanoid,NA,NA,SKISTODIAPTOMUS OREGONENSIS,NA
AL,HARPACTICOID,harpacticoid,NA,NA,HARPACTICOID,NA
AL,ALONA,cladocera,NA,NA,ALONA,NA
AL,BOSMINIDAE,bosmina,NA,NA,BOSMINIDAE,NA
AL,CERIODAPHNIA,cladocera,NA,NA,CERIODAPHNIA,NA
AL,CERIODAPHNIA LACUSTRIS,cladocera,NA,NA,CERIODAPHNIA LACUSTRIS,NA
AL,CHYDORUS,cladocera,NA,NA,CHYDORUS,NA
AL,DAPHNIA,daphnia,NA,NA,DAPHNIA,NA
AL,DAPHNIA AMBIGUA,daphnia,NA,NA,DAPHNIA AMBIGUA,NA
AL,DAPHNIA DUBIA,daphnia,NA,NA,DAPHNIA DUBIA,NA
AL,DAPHNIA MENDOTAE,daphnia,NA,NA,DAPHNIA MENDOTAE,NA
AL,DAPHNIA LONGIREMIS,daphnia,NA,NA,DAPHNIA LONGIREMIS,NA
AL,DAPHNIA PARVULA,daphnia,NA,NA,DAPHNIA PARVULA,NA
AL,DAPHNIA RETROCURVA,daphnia,NA,NA,DAPHNIA RETROCURVA,NA
AL,DAPHNIA DENTIFERA,daphnia,NA,NA,DAPHNIA DENTIFERA,NA
AL,DAPHNIA PULICARIA,daphnia,NA,NA,DAPHNIA PULICARIA,NA
AL,DIAPHANOSOMA BIRGEI,daphnia,NA,NA,DIAPHANOSOMA BIRGEI,NA
AL,HOLOPEDIUM GIBBERUM,cladocera,NA,NA,HOLOPEDIUM GIBBERUM,NA
AL,ANURAEOPSIS FISSA,rotifer,NA,NA,ANURAEOPSIS FISSA,NA
AL,ASCOMORPHA,rotifer,NA,NA,ASCOMORPHA,NA
AL,ASCOMORPHA ECAUDIS,rotifer,NA,NA,ASCOMORPHA ECAUDIS,NA
AL,ASCOMORPHA OVALIS,rotifer,NA,NA,ASCOMORPHA OVALIS,NA
AL,ASCOMORPHA SALTANS,rotifer,NA,NA,ASCOMORPHA SALTANS,NA
AL,ASPLANCHNA,rotifer,NA,NA,ASPLANCHNA,NA
