waterbody_name,stationid,year_yyyy,month_mm,day_of_month_dd,time_hhmm,time_of_day,surface_ph,surface_chla_ug_l,surface_tp_ug_l,secchi_depth_m,surface_temp_c,hypo_temp_c,thermocline_depth,NO2NO3_mgL,silica_mgL,dissolved_P_ugL,TKN_mgL,do_epi_mgL,do_hypo_mgL,conductivity_umho_cm,DOC_mgL,DIC_mgL,chloride_mgL,alkalinity_mgL,hardness_mgL,turbidity_NTU,TN_mgL,surf_or_int
Allequash Lake,deep hole,1981,4,23,NA,day,7.56,NA,24.5,NA,7.4875,NA,NA,0.003,6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,5,22,NA,day,NA,NA,NA,NA,15.200000000000001,NA,4.5,NA,NA,NA,NA,9.166666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,6,03,NA,day,7.615,NA,15.5,NA,18.3,NA,4.544958709630672,0,5300,NA,NA,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,6,17,NA,day,NA,NA,NA,NA,15.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,7,02,NA,day,NA,4.133333333333333,NA,NA,20.833333333333332,NA,5.6563962800511876,NA,NA,NA,NA,6.533333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,7,16,NA,day,NA,59.575,NA,NA,18.72222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,7,28,NA,day,8.003333333333334,19.133333333333333,21.666666666666668,NA,20.566666666666666,NA,5.586992571805361,0,5733.333333333333,NA,NA,8.200000000000001,NA,NA,NA,NA,NA,26.2227678,NA,NA,NA,int
Allequash Lake,deep hole,1981,8,12,NA,day,NA,79.3,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,8,27,NA,day,8.47,22.8,16.333333333333332,NA,21.433333333333334,NA,5.640568524144428,0,1100,NA,NA,8.116666666666667,NA,NA,NA,NA,NA,38.55013765,NA,NA,NA,int
Allequash Lake,deep hole,1981,9,12,NA,day,NA,19.06,NA,NA,17.522222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1981,9,26,NA,day,7.2139999999999995,18.625,20.8,NA,14.74,NA,NA,0,7309,NA,NA,NA,NA,NA,NA,NA,NA,42.862214925,NA,NA,NA,int
Allequash Lake,deep hole,1981,10,22,NA,day,NA,19.32,NA,NA,7.3,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,1,26,NA,day,NA,4.4,NA,2.3,0,NA,0.5,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,2,23,NA,day,NA,0,NA,2.2,0.3,NA,1.543781369861999,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,4,05,NA,day,NA,9.3,NA,2.5,0,NA,0.5,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,5,11,NA,day,7.41,22.96666666666667,NA,1.7,12.016666666666667,NA,5.538877828782335,0.0305,6000.5,NA,NA,9.783333333333333,NA,82,NA,NA,0.31000000000000005,39.18402135,NA,NA,NA,int
Allequash Lake,deep hole,1982,5,25,NA,day,8.04,14.533333333333333,NA,1.9,17.78,NA,4.958997975306409,0,5182,NA,NA,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,6,09,NA,day,7.71,4.9,NA,3,17.78,NA,4.576434646314805,0,5186,NA,NA,7.180000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,6,25,NA,day,7.116666666666667,5.66,NA,2.5,15.95,NA,NA,0,6991.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,7,05,NA,day,NA,3.8,NA,3.3,21.4,NA,4.633654408975757,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,7,21,NA,day,8.19,6.475,NA,3.2,22.7,NA,5.110192484941094,0,4846,NA,NA,7.699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,8,05,NA,day,7.7,12,NA,2.8,22.3,NA,5.2706075746504775,0,5329,NA,NA,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,8,16,NA,day,7.8175,16.15,NA,3,19.0875,NA,NA,0,6446.5,NA,NA,NA,NA,107,NA,NA,0.3,42.812171475,NA,NA,NA,int
Allequash Lake,deep hole,1982,9,08,NA,day,7.3966666666666665,12.8,NA,1.9,16.67142857142857,NA,6.5,0,6174,NA,NA,5.057142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,9,21,NA,day,7.405,17.88,NA,1.5,14.4125,NA,NA,0.0025,6215.25,NA,NA,7.7625,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,10,05,NA,day,7.65,19.3,NA,2,14.7,NA,0.5,0.009,6074,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,10,22,NA,day,7.3133333333333335,15.871428571428572,NA,2.3,7.3875,NA,NA,0.019,6055.666666666667,NA,NA,9.174999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1982,11,08,NA,day,7.333333333333333,12.55,NA,2.4,3.6875,NA,NA,0.024,6022.666666666667,NA,NA,10.7125,NA,77,NA,NA,0.33666666666666667,33.97950255,NA,NA,NA,int
Allequash Lake,deep hole,1982,11,30,NA,day,7.253333333333333,6,NA,3.5,1.575,NA,NA,NA,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,1,17,NA,day,NA,6,NA,3,0,NA,0.5,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,2,18,NA,day,NA,0.4,NA,3,0.6,NA,0.5,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,3,23,NA,day,NA,13.7,NA,2.5,0.5,NA,0.5,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,5,10,NA,day,7.36,14.6,NA,2.1,10.45,NA,3.274964619118421,0.008,6407,NA,NA,10.524999999999999,NA,83,NA,NA,0.3,35.78106675,NA,NA,NA,int
Allequash Lake,deep hole,1983,5,25,NA,day,7.386666666666667,7.1,NA,2.4,13.4,NA,6.5,0,5952.666666666667,NA,NA,9.757142857142856,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,6,08,NA,day,7.113333333333333,7.45,NA,2.7,14.014285714285714,NA,6.5,0.002,5819.333333333333,NA,NA,9.214285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,6,22,NA,day,7.71,5.2,NA,3,21.1,NA,5.3611451857566,0.006,5004.666666666667,NA,NA,8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,7,05,NA,day,7.595,7.5,NA,3.4,20.116666666666667,NA,5.249186176155846,0,NA,NA,NA,7.433333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,7,20,NA,day,7.903333333333333,4.575,NA,3.9,26.32,NA,4.250269319247074,0,4662,NA,NA,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,8,04,NA,day,8.075,7.2,NA,2.6,24.38,NA,4.940697989415981,0,NA,NA,NA,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,8,15,NA,day,8.195,8.06,NA,2.8,23.583333333333332,NA,5.543501379050307,0.0015,5371.5,NA,NA,8.65,NA,79,NA,NA,0.29500000000000004,35.155523625,NA,NA,NA,int
Allequash Lake,deep hole,1983,9,09,NA,day,7.470000000000001,11.799999999999999,NA,2.9,21.933333333333334,NA,5.648402258976681,0,6287,NA,NA,7.283333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,9,29,NA,day,7.756666666666667,20,NA,1.3,16.275,NA,3.2402767740233895,0.001,6731.333333333333,NA,NA,9.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,10,18,NA,day,7.31,8.7,NA,2.5,8.9375,NA,NA,0.027,6968,NA,NA,8.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1983,11,16,NA,day,7.55,11.657142857142857,NA,2.3,3.2125000000000004,NA,NA,0.052,6677.333333333333,NA,NA,10.3375,NA,81.66666666666667,NA,NA,0.32333333333333336,37.38245715,NA,NA,NA,int
Allequash Lake,deep hole,1984,1,06,NA,day,7.09,1.3,NA,2.2,0.1,NA,0.5,0.057,7405,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,2,29,NA,day,6.94,0.5,NA,2.9,0.4,NA,0.5,0.109,7623,NA,NA,9.7,NA,85,NA,NA,0.35,37.482544049999994,NA,NA,NA,int
Allequash Lake,deep hole,1984,4,03,NA,day,6.78,0.7,NA,3.5,0.9,NA,0.5,0.138,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,5,09,NA,day,7.536666666666666,14.528571428571428,NA,2.3,7.8,NA,NA,0.008,6362.333333333333,NA,NA,10.2,NA,82,NA,NA,0.32333333333333336,40.4351076,NA,NA,NA,int
Allequash Lake,deep hole,1984,5,23,NA,day,7.705,4.533333333333333,NA,3.5,16,NA,4.558031279339756,0,5477.5,NA,NA,9.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,6,05,NA,day,7.609999999999999,11.799999999999999,NA,2.4,16.52857142857143,NA,6.5,0.0033333333333333335,5536,NA,NA,8.614285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,6,21,NA,day,7.6899999999999995,8.2,NA,3.9,19.933333333333334,NA,5.3619485382065815,0.002,4376.333333333333,NA,NA,8.016666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,7,03,NA,day,7.93,8.459999999999999,NA,3.2,21.516666666666666,NA,5.803910831144037,0,4425.333333333333,NA,NA,7.966666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,7,18,NA,day,7.476666666666667,7.016666666666667,NA,2.8,19.52857142857143,NA,6.5,0.0013333333333333333,5361.333333333333,NA,NA,7.357142857142858,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1984,8,02,NA,day,8.36,7.56,NA,3.1,22.266666666666666,NA,5.586216152506413,0,4965,NA,NA,8.333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
